package,ecosystem,installed_version,cve_id,osv_id,summary,severity,cvss_vector,published,modified,aliases,reference_url
django,PyPI,2.2.0,CVE-2021-33571,GHSA-p99v-5w3c-jqq9,"Django Access Control Bypass possibly leading to SSRF, RFI, and LFI attacks",HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,2021-06-10T17:21:12Z,2024-09-20T16:08:23.035684Z,BIT-django-2021-33571; CVE-2021-33571; PYSEC-2021-99,https://nvd.nist.gov/vuln/detail/CVE-2021-33571
django,PyPI,2.2.0,CVE-2021-32052,GHSA-qm57-vhq3-3fwf,Header injection possible in Django,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2021-06-09T17:14:51Z,2024-09-20T15:33:15.953439Z,BIT-django-2021-32052; CVE-2021-32052; PYSEC-2021-8,https://nvd.nist.gov/vuln/detail/CVE-2021-32052
django,PyPI,2.2.0,CVE-2025-64458,GHSA-qw25-v68c-qjf3,Django has a denial-of-service vulnerability in HttpResponseRedirect and HttpResponsePermanentRedirect on Windows,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2025-11-05T15:31:07Z,2026-06-05T14:45:50.558008837Z,BIT-django-2025-64458; CVE-2025-64458; PYSEC-2025-107,https://nvd.nist.gov/vuln/detail/CVE-2025-64458
django,PyPI,2.2.0,CVE-2024-45231,GHSA-rrqc-c2jx-6jgv,Django allows enumeration of user e-mail addresses,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,2024-10-08T18:33:13Z,2024-10-30T19:23:59.139649Z,BIT-django-2024-45231; CVE-2024-45231,https://nvd.nist.gov/vuln/detail/CVE-2024-45231
django,PyPI,2.2.0,CVE-2021-31542,GHSA-rxjp-mfm9-w4wr,Path Traversal in Django,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2021-06-04T21:15:56Z,2024-09-20T15:33:18.289155Z,BIT-django-2021-31542; CVE-2021-31542; PYSEC-2021-7,https://nvd.nist.gov/vuln/detail/CVE-2021-31542
django,PyPI,2.2.0,CVE-2021-44420,GHSA-v6rh-hp5x-86rv,Potential bypass of an upstream access control based on URL paths in Django,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,2021-12-09T19:09:37Z,2024-11-19T05:35:04.095106Z,BIT-django-2021-44420; CVE-2021-44420; PYSEC-2021-439,https://nvd.nist.gov/vuln/detail/CVE-2021-44420
django,PyPI,2.2.0,CVE-2019-14235,GHSA-v9qg-3j8p-r63v,Uncontrolled Recursion in Django,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2019-08-06T01:43:31Z,2024-09-20T16:35:02.132194Z,CVE-2019-14235; PYSEC-2019-14,https://nvd.nist.gov/vuln/detail/CVE-2019-14235
django,PyPI,2.2.0,CVE-2019-19844,GHSA-vfq6-hq5r-27r6,Django Potential account hijack via password reset form,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2020-01-16T22:35:12Z,2024-09-20T15:24:05.816291Z,CVE-2019-19844; PYSEC-2019-16,https://nvd.nist.gov/vuln/detail/CVE-2019-19844
django,PyPI,2.2.0,CVE-2022-28347,GHSA-w24h-v9qh-8gxj,SQL Injection in Django,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-04-13T00:00:33Z,2025-02-21T05:41:01.294618Z,BIT-django-2022-28347; CVE-2022-28347; PYSEC-2022-191,https://nvd.nist.gov/vuln/detail/CVE-2022-28347
django,PyPI,2.2.0,CVE-2020-13254,GHSA-wpjr-j57x-wxfw,Data leakage via cache key collision in Django,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,2020-06-05T16:20:44Z,2024-11-19T05:38:34.283599Z,BIT-django-2020-13254; CVE-2020-13254; PYSEC-2020-31,https://nvd.nist.gov/vuln/detail/CVE-2020-13254
django,PyPI,2.2.0,CVE-2021-28658,GHSA-xgxc-v2qg-chmh,Directory Traversal in Django,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,2021-04-08T18:11:48Z,2024-09-20T16:08:04.482170Z,BIT-django-2021-28658; CVE-2021-28658; PYSEC-2021-6,https://nvd.nist.gov/vuln/detail/CVE-2021-28658
django,PyPI,2.2.0,CVE-2019-12781,PYSEC-2019-10,,,,2019-07-01T14:15:00Z,2023-11-08T04:01:06.373410Z,CVE-2019-12781; GHSA-6c7v-2f49-8h26,https://groups.google.com/forum/#!topic/django-announce/Is4kLY9ZcZQ
django,PyPI,2.2.0,CVE-2019-14232,PYSEC-2019-11,,,,2019-08-02T15:15:00Z,2023-11-08T04:01:09.281488Z,CVE-2019-14232; GHSA-c4qh-4vgv-qc6g,https://www.djangoproject.com/weblog/2019/aug/01/security-releases/
