package,ecosystem,installed_version,cve_id,osv_id,summary,severity,cvss_vector,published,modified,aliases,reference_url
pillow,PyPI,6.2.0,CVE-2021-27922,GHSA-3wvg-mj6g-m9cv,Pillow Uncontrolled Resource Consumption,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021-03-18T19:55:21Z,2025-08-15T14:25:07.863555Z,BIT-pillow-2021-27922; CVE-2021-27922; PYSEC-2021-41,https://nvd.nist.gov/vuln/detail/CVE-2021-27922
pillow,PyPI,6.2.0,CVE-2020-10378,GHSA-3xv8-3j54-hgrp,Out-of-bounds read in Pillow,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,2021-11-03T18:04:53Z,2025-06-06T15:13:14.202950Z,BIT-pillow-2020-10378; CVE-2020-10378; PYSEC-2020-77,https://nvd.nist.gov/vuln/detail/CVE-2020-10378
pillow,PyPI,6.2.0,CVE-2020-11538,GHSA-43fq-w8qq-v88h,Out-of-bounds read in Pillow,CRITICAL,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,2020-07-27T21:52:36Z,2024-10-09T20:02:20.538595Z,BIT-pillow-2020-11538; CVE-2020-11538; PYSEC-2020-80,https://nvd.nist.gov/vuln/detail/CVE-2020-11538
pillow,PyPI,6.2.0,CVE-2024-28219,GHSA-44wm-f244-xhp3,Pillow buffer overflow vulnerability,HIGH,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,2024-04-03T03:30:30Z,2026-02-04T02:29:33.536206Z,BIT-pillow-2024-28219; CVE-2024-28219,https://nvd.nist.gov/vuln/detail/CVE-2024-28219
pillow,PyPI,6.2.0,GHSA-4fx9-vc88-q2xc,GHSA-4fx9-vc88-q2xc,Infinite loop in Pillow,LOW,,2022-03-11T23:39:27Z,2024-12-05T05:35:12.297192Z,,https://github.com/python-pillow/Pillow/commit/baae9ec4b67c68e3adaf1208cf54e8de5e38a6fd
pillow,PyPI,6.2.0,CVE-2021-25289,GHSA-57h3-9rgr-c24m,Out of bounds write in Pillow,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-03-29T16:35:16Z,2024-10-08T13:22:45.198644Z,BIT-pillow-2021-25289; CVE-2021-25289; PYSEC-2021-35,https://nvd.nist.gov/vuln/detail/CVE-2021-25289
pillow,PyPI,6.2.0,CVE-2019-19911,GHSA-5gm3-px64-rw72,Uncontrolled Resource Consumption in Pillow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2020-04-01T16:36:44Z,2024-10-08T13:22:59.440420Z,CVE-2019-19911; PYSEC-2020-172,https://nvd.nist.gov/vuln/detail/CVE-2019-19911
pillow,PyPI,6.2.0,CVE-2021-34552,GHSA-7534-mm45-c74v,Buffer Overflow in Pillow,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-10-05T20:24:41Z,2024-10-09T21:10:34.327533Z,BIT-pillow-2021-34552; CVE-2021-34552; PYSEC-2021-331,https://nvd.nist.gov/vuln/detail/CVE-2021-34552
pillow,PyPI,6.2.0,CVE-2021-25287,GHSA-77gc-v2xv-rvvh,Out-of-bounds Read in Pillow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,2021-06-08T18:49:02Z,2024-10-09T21:25:17.588681Z,BIT-pillow-2021-25287; CVE-2021-25287; PYSEC-2021-137,https://nvd.nist.gov/vuln/detail/CVE-2021-25287
pillow,PyPI,6.2.0,CVE-2021-28676,GHSA-7r7m-5h27-29hp,Potential infinite loop in Pillow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021-06-08T18:48:53Z,2024-10-14T18:25:51.489802Z,BIT-pillow-2021-28676; CVE-2021-28676; PYSEC-2021-92,https://nvd.nist.gov/vuln/detail/CVE-2021-28676
pillow,PyPI,6.2.0,CVE-2020-10379,GHSA-8843-m7mw-mxqm,Buffer overflow in Pillow,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2020-07-27T21:52:41Z,2025-06-06T15:13:20.298139Z,BIT-pillow-2020-10379; CVE-2020-10379; PYSEC-2020-78,https://nvd.nist.gov/vuln/detail/CVE-2020-10379
pillow,PyPI,6.2.0,CVE-2023-44271,GHSA-8ghj-p4vj-mr35,Pillow Denial of Service vulnerability,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2023-11-03T06:36:30Z,2024-10-14T21:23:45.339098Z,BIT-pillow-2023-44271; CVE-2023-44271; PYSEC-2023-227,https://nvd.nist.gov/vuln/detail/CVE-2023-44271
pillow,PyPI,6.2.0,CVE-2022-22817,GHSA-8vj2-vxx3-667w,Arbitrary expression injection in Pillow,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-01-12T20:07:33Z,2024-10-14T18:26:08.636369Z,BIT-pillow-2022-22817; CVE-2022-22817; PYSEC-2022-10,https://nvd.nist.gov/vuln/detail/CVE-2022-22817
pillow,PyPI,6.2.0,CVE-2021-25290,GHSA-8xjq-8fcg-g5hw,Out-of-bounds Write in Pillow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021-03-29T16:35:36Z,2024-10-08T13:23:21.252680Z,BIT-pillow-2021-25290; CVE-2021-25290; PYSEC-2021-36,https://nvd.nist.gov/vuln/detail/CVE-2021-25290
pillow,PyPI,6.2.0,CVE-2021-27923,GHSA-95q3-8gr9-gm8w,Pillow Denial of Service by Uncontrolled Resource Consumption,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021-03-18T19:54:43Z,2025-08-15T14:25:58.420732Z,BIT-pillow-2021-27923; CVE-2021-27923; PYSEC-2021-42,https://nvd.nist.gov/vuln/detail/CVE-2021-27923
pillow,PyPI,6.2.0,CVE-2021-23437,GHSA-98vv-pw6r-q6q4,Uncontrolled Resource Consumption in pillow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021-09-07T23:08:10Z,2024-10-09T21:08:55.452380Z,BIT-pillow-2021-23437; CVE-2021-23437; PYSEC-2021-317; SNYK-PYTHON-PILLOW-1319443,https://nvd.nist.gov/vuln/detail/CVE-2021-23437
pillow,PyPI,6.2.0,CVE-2021-25292,GHSA-9hx2-hgq2-2g4f,Regular Expression Denial of Service (ReDoS) in Pillow,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,2021-03-29T16:35:46Z,2024-10-09T21:24:57.273766Z,BIT-pillow-2021-25292; CVE-2021-25292; PYSEC-2021-38,https://nvd.nist.gov/vuln/detail/CVE-2021-25292
pillow,PyPI,6.2.0,CVE-2022-24303,GHSA-9j59-75qj-795w,Path traversal in Pillow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,2022-03-11T23:10:32Z,2024-10-14T18:43:28.549080Z,BIT-pillow-2022-24303; CVE-2022-24303; PYSEC-2022-168,https://nvd.nist.gov/vuln/detail/CVE-2022-24303
pillow,PyPI,6.2.0,CVE-2020-10177,GHSA-cqhg-xjhh-p8hf,Out-of-bounds reads in Pillow,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,2020-07-27T21:52:43Z,2024-10-09T21:26:00.542395Z,BIT-pillow-2020-10177; CVE-2020-10177; PYSEC-2020-76,https://nvd.nist.gov/vuln/detail/CVE-2020-10177
pillow,PyPI,6.2.0,CVE-2021-27921,GHSA-f4w8-cv6p-x6r5,Pillow Denial of Service by Uncontrolled Resource Consumption,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021-03-18T19:55:13Z,2025-08-15T14:26:48.805609Z,BIT-pillow-2021-27921; CVE-2021-27921; PYSEC-2021-40,https://nvd.nist.gov/vuln/detail/CVE-2021-27921
pillow,PyPI,6.2.0,CVE-2020-35653,GHSA-f5g8-5qq7-938w,Pillow Out-of-bounds Read,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H,2021-03-18T19:55:41Z,2024-10-08T13:22:43.207345Z,BIT-pillow-2020-35653; CVE-2020-35653; PYSEC-2021-69,https://nvd.nist.gov/vuln/detail/CVE-2020-35653
pillow,PyPI,6.2.0,CVE-2021-28675,GHSA-g6rj-rv7j-xwp4,Pillow denial of service,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,2021-06-08T18:49:11Z,2024-10-09T20:23:47.599939Z,BIT-pillow-2021-28675; CVE-2021-28675; PYSEC-2021-139,https://nvd.nist.gov/vuln/detail/CVE-2021-28675
pillow,PyPI,6.2.0,CVE-2020-35655,GHSA-hf64-x4gq-p99h,Pillow Out-of-bounds Read,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:L,2021-03-18T19:55:34Z,2024-10-08T13:23:04.536308Z,BIT-pillow-2020-35655; CVE-2020-35655; PYSEC-2021-71,https://nvd.nist.gov/vuln/detail/CVE-2020-35655
pillow,PyPI,6.2.0,CVE-2020-5313,GHSA-hj69-c76v-86wr,Out-of-bounds Read in Pillow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H,2020-04-01T16:36:00Z,2024-10-08T13:02:51.390006Z,BIT-pillow-2020-5313; CVE-2020-5313; PYSEC-2020-84,https://nvd.nist.gov/vuln/detail/CVE-2020-5313
pillow,PyPI,6.2.0,CVE-2021-28678,GHSA-hjfx-8p6c-g7gx,Insufficient Verification of Data Authenticity in Pillow,MODERATE,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,2021-06-08T18:49:20Z,2024-10-14T21:48:01.061332Z,BIT-pillow-2021-28678; CVE-2021-28678; PYSEC-2021-94,https://nvd.nist.gov/vuln/detail/CVE-2021-28678
pillow,PyPI,6.2.0,CVE-2023-4863,GHSA-j7hp-h8jx-5ppr,libwebp: OOB write in BuildHuffmanTable,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2023-09-12T15:30:20Z,2026-02-04T03:35:53.856889Z,A-299477569; ASB-A-299477569; CVE-2023-4863; CVE-2023-5129; RUSTSEC-2023-0060; RUSTSEC-2023-0061,https://nvd.nist.gov/vuln/detail/CVE-2023-4863
pillow,PyPI,6.2.0,GHSA-jgpv-4h4c-xhw3,GHSA-jgpv-4h4c-xhw3,Uncontrolled Resource Consumption in pillow,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021-04-23T16:54:36Z,2024-12-02T05:42:54.453520Z,,https://github.com/calix2/pyVulApp/security/advisories/GHSA-jgpv-4h4c-xhw3
pillow,PyPI,6.2.0,CVE-2022-45198,GHSA-m2vv-5vj5-2hm7,Pillow vulnerable to Data Amplification attack.,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-11-14T12:00:15Z,2024-10-14T18:39:06.000592Z,BIT-pillow-2022-45198; CVE-2022-45198; PYSEC-2022-42979,https://nvd.nist.gov/vuln/detail/CVE-2022-45198
pillow,PyPI,6.2.0,CVE-2021-25291,GHSA-mvg9-xffr-p774,Out of bounds read in Pillow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021-03-29T16:35:57Z,2024-10-09T21:25:39.006444Z,BIT-pillow-2021-25291; CVE-2021-25291; PYSEC-2021-37,https://nvd.nist.gov/vuln/detail/CVE-2021-25291
pillow,PyPI,6.2.0,CVE-2021-25293,GHSA-p43w-g3c5-g5mq,Out of bounds read in Pillow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021-03-29T16:35:27Z,2024-10-09T20:24:39.871914Z,BIT-pillow-2021-25293; CVE-2021-25293; PYSEC-2021-39,https://nvd.nist.gov/vuln/detail/CVE-2021-25293
pillow,PyPI,6.2.0,CVE-2020-5312,GHSA-p49h-hjvm-jg3h,PCX P mode buffer overflow in Pillow,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-11-03T18:05:04Z,2024-10-08T13:23:23.927728Z,BIT-pillow-2020-5312; CVE-2020-5312; PYSEC-2020-83,https://nvd.nist.gov/vuln/detail/CVE-2020-5312
pillow,PyPI,6.2.0,CVE-2022-22815,GHSA-pw3c-h7wp-cvhx,Improper Initialization in Pillow,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,2022-01-12T20:07:43Z,2024-10-14T18:38:03.414350Z,BIT-pillow-2022-22815; CVE-2022-22815; PYSEC-2022-8,https://nvd.nist.gov/vuln/detail/CVE-2022-22815
pillow,PyPI,6.2.0,CVE-2021-28677,GHSA-q5hq-fp76-qmrc,Uncontrolled Resource Consumption in Pillow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021-06-08T18:49:36Z,2024-10-14T21:48:17.575679Z,BIT-pillow-2021-28677; CVE-2021-28677; PYSEC-2021-93,https://nvd.nist.gov/vuln/detail/CVE-2021-28677
pillow,PyPI,6.2.0,CVE-2026-42310,GHSA-r73j-pqj5-w3x7,Pillow has a PDF Parsing Trailer Infinite Loop (DoS),MODERATE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2026-05-04T20:19:30Z,2026-05-13T13:56:38.908970Z,BIT-pillow-2026-42310; CVE-2026-42310,https://github.com/python-pillow/Pillow/security/advisories/GHSA-r73j-pqj5-w3x7
pillow,PyPI,6.2.0,CVE-2020-5311,GHSA-r7rm-8j6h-r933,Buffer Copy without Checking Size of Input in Pillow,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-05-24T17:05:33Z,2024-10-08T13:23:04.128649Z,BIT-pillow-2020-5311; CVE-2020-5311; PYSEC-2020-82,https://nvd.nist.gov/vuln/detail/CVE-2020-5311
pillow,PyPI,6.2.0,CVE-2021-25288,GHSA-rwv7-3v45-hg29,Pillow Out-of-bounds Read vulnerability,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,2021-06-08T18:49:28Z,2024-10-09T21:25:47.466845Z,BIT-pillow-2021-25288; CVE-2021-25288; PYSEC-2021-138,https://nvd.nist.gov/vuln/detail/CVE-2021-25288
pillow,PyPI,6.2.0,CVE-2020-5310,GHSA-vcqg-3p29-xw73,Integer overflow in Pillow,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2021-11-03T18:04:41Z,2024-10-08T13:22:46.929242Z,BIT-pillow-2020-5310; CVE-2020-5310; PYSEC-2020-81,https://nvd.nist.gov/vuln/detail/CVE-2020-5310
pillow,PyPI,6.2.0,CVE-2020-10994,GHSA-vj42-xq3r-hr3r,Out-of-bounds reads in Pillow,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,2020-07-27T21:52:39Z,2024-10-09T20:01:45.805562Z,BIT-pillow-2020-10994; CVE-2020-10994; PYSEC-2020-79,https://nvd.nist.gov/vuln/detail/CVE-2020-10994
pillow,PyPI,6.2.0,CVE-2020-35654,GHSA-vqcj-wrf2-7v73,Pillow Out-of-bounds Write,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2021-03-18T19:55:27Z,2024-10-14T18:39:21.207820Z,BIT-pillow-2020-35654; CVE-2020-35654; PYSEC-2021-70,https://nvd.nist.gov/vuln/detail/CVE-2020-35654
pillow,PyPI,6.2.0,CVE-2026-42308,GHSA-wjx4-4jcj-g98j,Pillow has an integer overflow when processing fonts,MODERATE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2026-05-04T20:18:45Z,2026-06-08T23:45:16.414580348Z,BIT-pillow-2026-42308; CVE-2026-42308; PYSEC-2026-165,https://github.com/python-pillow/Pillow/security/advisories/GHSA-wjx4-4jcj-g98j
pillow,PyPI,6.2.0,CVE-2022-22816,GHSA-xrcv-f9gm-v42c,Out-of-bounds Read in Pillow,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,2022-01-12T20:07:41Z,2024-10-14T18:38:42.596412Z,BIT-pillow-2022-22816; CVE-2022-22816; PYSEC-2022-9,https://nvd.nist.gov/vuln/detail/CVE-2022-22816
pillow,PyPI,6.2.0,CVE-2019-19911,PYSEC-2020-172,,,,2020-01-05T22:15:00Z,2023-11-08T04:01:29.773452Z,CVE-2019-19911; GHSA-5gm3-px64-rw72,https://pillow.readthedocs.io/en/stable/releasenotes/6.2.2.html
pillow,PyPI,6.2.0,CVE-2020-10177,PYSEC-2020-76,,,,2020-06-25T19:15:00Z,2023-12-06T00:59:58.356689Z,BIT-pillow-2020-10177; CVE-2020-10177; GHSA-cqhg-xjhh-p8hf,https://pillow.readthedocs.io/en/stable/releasenotes/7.1.0.html
pillow,PyPI,6.2.0,CVE-2020-10378,PYSEC-2020-77,,,,2020-06-25T19:15:00Z,2025-06-06T15:13:14.202950Z,BIT-pillow-2020-10378; CVE-2020-10378; GHSA-3xv8-3j54-hgrp,https://pillow.readthedocs.io/en/stable/releasenotes/7.1.0.html
pillow,PyPI,6.2.0,CVE-2020-10379,PYSEC-2020-78,,,,2020-06-25T19:15:00Z,2025-06-06T15:13:20.298139Z,BIT-pillow-2020-10379; CVE-2020-10379; GHSA-8843-m7mw-mxqm,https://pillow.readthedocs.io/en/stable/releasenotes/7.1.0.html
pillow,PyPI,6.2.0,CVE-2020-10994,PYSEC-2020-79,,,,2020-06-25T19:15:00Z,2023-12-06T01:00:00.423780Z,BIT-pillow-2020-10994; CVE-2020-10994; GHSA-vj42-xq3r-hr3r,https://pillow.readthedocs.io/en/stable/releasenotes/7.1.0.html
pillow,PyPI,6.2.0,CVE-2020-11538,PYSEC-2020-80,,,,2020-06-25T19:15:00Z,2023-12-06T01:00:02.150254Z,BIT-pillow-2020-11538; CVE-2020-11538; GHSA-43fq-w8qq-v88h,https://pillow.readthedocs.io/en/stable/releasenotes/7.1.0.html
pillow,PyPI,6.2.0,CVE-2020-5310,PYSEC-2020-81,,,,2020-01-03T01:15:00Z,2023-12-06T01:00:36.189371Z,BIT-pillow-2020-5310; CVE-2020-5310; GHSA-vcqg-3p29-xw73,https://pillow.readthedocs.io/en/stable/releasenotes/6.2.2.html
pillow,PyPI,6.2.0,CVE-2020-5311,PYSEC-2020-82,,,,2020-01-03T01:15:00Z,2023-12-06T01:00:36.248901Z,BIT-pillow-2020-5311; CVE-2020-5311; GHSA-r7rm-8j6h-r933,https://pillow.readthedocs.io/en/stable/releasenotes/6.2.2.html
pillow,PyPI,6.2.0,CVE-2020-5312,PYSEC-2020-83,,,,2020-01-03T01:15:00Z,2023-12-06T01:00:36.307889Z,BIT-pillow-2020-5312; CVE-2020-5312; GHSA-p49h-hjvm-jg3h,https://pillow.readthedocs.io/en/stable/releasenotes/6.2.2.html
pillow,PyPI,6.2.0,CVE-2020-5313,PYSEC-2020-84,,,,2020-01-03T01:15:00Z,2023-12-06T01:00:36.368409Z,BIT-pillow-2020-5313; CVE-2020-5313; GHSA-hj69-c76v-86wr,https://github.com/python-pillow/Pillow/commit/a09acd0decd8a87ccce939d5ff65dab59e7d365b
pillow,PyPI,6.2.0,CVE-2021-25287,PYSEC-2021-137,,,,2021-06-02T16:15:00Z,2023-12-06T01:00:57.410419Z,BIT-pillow-2021-25287; CVE-2021-25287; GHSA-77gc-v2xv-rvvh,https://pillow.readthedocs.io/en/stable/releasenotes/8.2.0.html#cve-2021-25287-cve-2021-25288-fix-oob-read-in-jpeg2kdecode
pillow,PyPI,6.2.0,CVE-2021-25288,PYSEC-2021-138,,,,2021-06-02T16:15:00Z,2023-12-06T01:00:57.469230Z,BIT-pillow-2021-25288; CVE-2021-25288; GHSA-rwv7-3v45-hg29,https://pillow.readthedocs.io/en/stable/releasenotes/8.2.0.html#cve-2021-25287-cve-2021-25288-fix-oob-read-in-jpeg2kdecode
pillow,PyPI,6.2.0,CVE-2021-28675,PYSEC-2021-139,,,,2021-06-02T15:15:00Z,2023-12-06T01:01:01.804750Z,BIT-pillow-2021-28675; CVE-2021-28675; GHSA-g6rj-rv7j-xwp4,https://pillow.readthedocs.io/en/stable/releasenotes/8.2.0.html#cve-2021-28675-fix-dos-in-psdimageplugin
pillow,PyPI,6.2.0,CVE-2021-23437,PYSEC-2021-317,,,,2021-09-03T16:15:00Z,2023-12-06T01:00:56.992827Z,BIT-pillow-2021-23437; CVE-2021-23437; GHSA-98vv-pw6r-q6q4; SNYK-PYTHON-PILLOW-1319443,https://pillow.readthedocs.io/en/stable/releasenotes/8.3.2.html
pillow,PyPI,6.2.0,CVE-2021-34552,PYSEC-2021-331,,,,2021-07-13T17:15:00Z,2023-12-06T01:01:17.659994Z,BIT-pillow-2021-34552; CVE-2021-34552; GHSA-7534-mm45-c74v,https://pillow.readthedocs.io/en/stable/releasenotes/index.html
pillow,PyPI,6.2.0,CVE-2021-25289,PYSEC-2021-35,,,,2021-03-19T04:15:00Z,2023-12-06T01:00:57.530328Z,BIT-pillow-2021-25289; CVE-2021-25289; GHSA-57h3-9rgr-c24m,https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html
pillow,PyPI,6.2.0,CVE-2021-25290,PYSEC-2021-36,,,,2021-03-19T04:15:00Z,2023-12-06T01:00:57.594160Z,BIT-pillow-2021-25290; CVE-2021-25290; GHSA-8xjq-8fcg-g5hw,https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html
pillow,PyPI,6.2.0,CVE-2021-25291,PYSEC-2021-37,,,,2021-03-19T04:15:00Z,2023-12-06T01:00:57.655070Z,BIT-pillow-2021-25291; CVE-2021-25291; GHSA-mvg9-xffr-p774,https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html
pillow,PyPI,6.2.0,CVE-2021-25292,PYSEC-2021-38,,,,2021-03-19T04:15:00Z,2023-12-06T01:00:57.715274Z,BIT-pillow-2021-25292; CVE-2021-25292; GHSA-9hx2-hgq2-2g4f,https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html
pillow,PyPI,6.2.0,CVE-2021-25293,PYSEC-2021-39,,,,2021-03-19T04:15:00Z,2023-12-06T01:00:57.774707Z,BIT-pillow-2021-25293; CVE-2021-25293; GHSA-p43w-g3c5-g5mq,https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html
pillow,PyPI,6.2.0,CVE-2021-27921,PYSEC-2021-40,,,,2021-03-03T09:15:00Z,2023-12-06T01:00:59.774190Z,BIT-pillow-2021-27921; CVE-2021-27921; GHSA-f4w8-cv6p-x6r5,https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html
pillow,PyPI,6.2.0,CVE-2021-27922,PYSEC-2021-41,,,,2021-03-03T09:15:00Z,2023-12-06T01:00:59.834667Z,BIT-pillow-2021-27922; CVE-2021-27922; GHSA-3wvg-mj6g-m9cv,https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html
pillow,PyPI,6.2.0,CVE-2021-27923,PYSEC-2021-42,,,,2021-03-03T09:15:00Z,2023-12-06T01:00:59.895861Z,BIT-pillow-2021-27923; CVE-2021-27923; GHSA-95q3-8gr9-gm8w,https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html
pillow,PyPI,6.2.0,CVE-2020-35653,PYSEC-2021-69,,,,2021-01-12T09:15:00Z,2023-12-06T01:00:33.361922Z,BIT-pillow-2020-35653; CVE-2020-35653; GHSA-f5g8-5qq7-938w,https://pillow.readthedocs.io/en/stable/releasenotes/index.html
pillow,PyPI,6.2.0,CVE-2020-35654,PYSEC-2021-70,,,,2021-01-12T09:15:00Z,2023-12-06T01:00:33.419964Z,BIT-pillow-2020-35654; CVE-2020-35654; GHSA-vqcj-wrf2-7v73,https://pillow.readthedocs.io/en/stable/releasenotes/index.html
pillow,PyPI,6.2.0,CVE-2020-35655,PYSEC-2021-71,,,,2021-01-12T09:15:00Z,2023-12-06T01:00:33.478747Z,BIT-pillow-2020-35655; CVE-2020-35655; GHSA-hf64-x4gq-p99h,https://pillow.readthedocs.io/en/stable/releasenotes/index.html
pillow,PyPI,6.2.0,CVE-2021-28676,PYSEC-2021-92,,,,2021-06-02T16:15:00Z,2023-12-06T01:01:01.865326Z,BIT-pillow-2021-28676; CVE-2021-28676; GHSA-7r7m-5h27-29hp,https://pillow.readthedocs.io/en/stable/releasenotes/8.2.0.html#cve-2021-28676-fix-fli-dos
pillow,PyPI,6.2.0,CVE-2021-28677,PYSEC-2021-93,,,,2021-06-02T16:15:00Z,2023-12-06T01:01:01.924504Z,BIT-pillow-2021-28677; CVE-2021-28677; GHSA-q5hq-fp76-qmrc,https://github.com/python-pillow/Pillow/pull/5377
pillow,PyPI,6.2.0,CVE-2021-28678,PYSEC-2021-94,,,,2021-06-02T16:15:00Z,2023-12-06T01:01:01.984751Z,BIT-pillow-2021-28678; CVE-2021-28678; GHSA-hjfx-8p6c-g7gx,https://github.com/python-pillow/Pillow/pull/5377
pillow,PyPI,6.2.0,CVE-2022-22817,PYSEC-2022-10,,,,2022-01-10T14:12:00Z,2023-12-06T01:01:58.166055Z,BIT-pillow-2022-22817; CVE-2022-22817; GHSA-8vj2-vxx3-667w,https://pillow.readthedocs.io/en/stable/releasenotes/9.0.0.html#restrict-builtins-available-to-imagemath-eval
pillow,PyPI,6.2.0,CVE-2022-24303,PYSEC-2022-168,,,,2022-03-28T02:15:00Z,2023-12-06T01:02:03.848876Z,BIT-pillow-2022-24303; CVE-2022-24303; GHSA-9j59-75qj-795w,https://pillow.readthedocs.io/en/stable/releasenotes/9.0.1.html#security
pillow,PyPI,6.2.0,CVE-2022-45198,PYSEC-2022-42979,,,,2022-11-14T07:15:00Z,2026-06-10T17:02:31.598361984Z,BIT-pillow-2022-45198; CVE-2022-45198; GHSA-m2vv-5vj5-2hm7,https://bugs.gentoo.org/855683
pillow,PyPI,6.2.0,CVE-2022-45199,PYSEC-2022-42980,,,,2022-11-14T07:15:00Z,2026-06-10T17:02:31.598026305Z,BIT-pillow-2022-45199; CVE-2022-45199; GHSA-q4mp-jvh2-76fj,https://github.com/python-pillow/Pillow/pull/6700
pillow,PyPI,6.2.0,CVE-2022-22815,PYSEC-2022-8,,,,2022-01-10T14:12:00Z,2023-12-06T01:01:58.043772Z,BIT-pillow-2022-22815; CVE-2022-22815; GHSA-pw3c-h7wp-cvhx,https://github.com/python-pillow/Pillow/blob/c5d9223a8b5e9295d15b5a9b1ef1dae44c8499f3/src/path.c#L331
pillow,PyPI,6.2.0,CVE-2022-22816,PYSEC-2022-9,,,,2022-01-10T14:12:00Z,2023-12-06T01:01:58.105368Z,BIT-pillow-2022-22816; CVE-2022-22816; GHSA-xrcv-f9gm-v42c,https://github.com/python-pillow/Pillow/blob/c5d9223a8b5e9295d15b5a9b1ef1dae44c8499f3/src/path.c#L331
